province,ym,disease,persons,visits,opd,ipd
กระบี่,2025-07,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,6031,6682,6003,58
กระบี่,2025-07,โรคปอดอุดกั้นเรื้อรัง,717,992,669,137
กระบี่,2025-07,โรคผิวหนังอักเสบ,350,389,350,0
กระบี่,2025-07,โรคลมพิษ,277,307,270,8
กระบี่,2025-07,โรคหอบหืด,929,1094,887,106
กระบี่,2025-07,โรคเยื่อจมูกอักเสบจากภูมิแพ้,249,266,249,0
กระบี่,2025-07,โรคเยื่อบุตาอักเสบ,418,453,418,0
กระบี่,2025-08,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,5754,6338,5717,58
กระบี่,2025-08,โรคปอดอุดกั้นเรื้อรัง,681,945,649,110
กระบี่,2025-08,โรคผิวหนังอักเสบ,355,385,354,1
กระบี่,2025-08,โรคลมพิษ,223,246,219,6
กระบี่,2025-08,โรคหอบหืด,888,1018,845,82
กระบี่,2025-08,โรคเยื่อจมูกอักเสบจากภูมิแพ้,265,284,264,1
กระบี่,2025-08,โรคเยื่อบุตาอักเสบ,405,445,405,0
กระบี่,2025-09,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,6624,7342,6603,36
กระบี่,2025-09,โรคปอดอุดกั้นเรื้อรัง,635,856,568,146
กระบี่,2025-09,โรคผิวหนังอักเสบ,300,328,300,1
กระบี่,2025-09,โรคลมพิษ,169,190,168,2
กระบี่,2025-09,โรคหอบหืด,752,884,704,89
กระบี่,2025-09,โรคเยื่อจมูกอักเสบจากภูมิแพ้,156,173,155,1
กระบี่,2025-09,โรคเยื่อบุตาอักเสบ,330,348,330,0
กระบี่,2025-10,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,7348,8146,7324,51
กระบี่,2025-10,โรคปอดอุดกั้นเรื้อรัง,707,1023,655,170
กระบี่,2025-10,โรคผิวหนังอักเสบ,289,307,288,1
กระบี่,2025-10,โรคลมพิษ,237,257,236,4
กระบี่,2025-10,โรคหอบหืด,955,1125,907,109
กระบี่,2025-10,โรคเยื่อจมูกอักเสบจากภูมิแพ้,274,300,274,1
กระบี่,2025-10,โรคเยื่อบุตาอักเสบ,403,423,403,0
กระบี่,2025-11,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,6852,7480,6841,31
กระบี่,2025-11,โรคปอดอุดกั้นเรื้อรัง,738,1057,668,195
กระบี่,2025-11,โรคผิวหนังอักเสบ,288,306,288,0
กระบี่,2025-11,โรคลมพิษ,213,239,211,6
กระบี่,2025-11,โรคหอบหืด,1028,1253,964,151
กระบี่,2025-11,โรคเยื่อจมูกอักเสบจากภูมิแพ้,290,309,290,0
กระบี่,2025-11,โรคเยื่อบุตาอักเสบ,401,432,401,0
กระบี่,2025-12,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,7112,7826,7091,42
กระบี่,2025-12,โรคปอดอุดกั้นเรื้อรัง,818,1166,717,246
กระบี่,2025-12,โรคผิวหนังอักเสบ,312,339,312,0
กระบี่,2025-12,โรคลมพิษ,231,250,226,6
กระบี่,2025-12,โรคหอบหืด,1141,1391,1066,167
กระบี่,2025-12,โรคเยื่อจมูกอักเสบจากภูมิแพ้,358,388,358,0
กระบี่,2025-12,โรคเยื่อบุตาอักเสบ,440,459,440,0
กรุงเทพมหานคร,2022-01,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,6715,7290,5275,1550
กรุงเทพมหานคร,2022-01,โรคปอดอุดกั้นเรื้อรัง,814,1183,792,62
กรุงเทพมหานคร,2022-01,โรคผิวหนังอักเสบ,3333,3700,3332,2
กรุงเทพมหานคร,2022-01,โรคลมพิษ,764,872,761,6
กรุงเทพมหานคร,2022-01,โรคหอบหืด,1729,2052,1717,53
กรุงเทพมหานคร,2022-01,โรคเยื่อจมูกอักเสบจากภูมิแพ้,1816,1973,1815,2
กรุงเทพมหานคร,2022-01,โรคเยื่อบุตาอักเสบ,1030,1193,1030,1
กรุงเทพมหานคร,2022-02,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,9757,10417,4929,4975
กรุงเทพมหานคร,2022-02,โรคปอดอุดกั้นเรื้อรัง,774,1035,751,47
กรุงเทพมหานคร,2022-02,โรคผิวหนังอักเสบ,2867,3194,2867,0
กรุงเทพมหานคร,2022-02,โรคลมพิษ,702,801,698,7
กรุงเทพมหานคร,2022-02,โรคหอบหืด,1497,1785,1486,36
